Geo Point;Geo Shape;N_SQ_SPVP;N_SQ_CA;N_SQ_PC
48.8716219316,2.31586533875;"{""coordinates"": [[[2.316016660182248, 48.87158123124292], [2.315858185678474, 48.87157768960007], [2.315800248829413, 48.87157578189549], [2.315781504197397, 48.8715748653401], [2.31572356770818, 48.87157344954076], [2.315710749904113, 48.871660916462474], [2.315772946722843, 48.871663175921654], [2.315864963808478, 48.871666774935754], [2.316009806791923, 48.871669681980876], [2.316016660182248, 48.87158123124292]]], ""type"": ""Polygon""}";1217;8;750017181
48.8730246444,2.30193674321;"{""coordinates"": [[[2.30163270290737, 48.872992704662224], [2.301586654940869, 48.873045593448566], [2.301568746237784, 48.87306680517724], [2.301491146559917, 48.87315642783825], [2.301539691252697, 48.873187706951455], [2.301561833643118, 48.87320225710953], [2.301591642074041, 48.87322109419064], [2.301613784070383, 48.8732355741875], [2.301759419401858, 48.87332905877091], [2.301855748478892, 48.87326164203559], [2.301863412349645, 48.87326670236717], [2.301923084355105, 48.87322653409804], [2.302001510114408, 48.8731740066706], [2.302059476077344, 48.87313538334645], [2.302247693635917, 48.873257404435265], [2.302373857030023, 48.873171940507206], [2.30226739989057, 48.87310158229951], [2.302215448621458, 48.87306749296261], [2.302155831650749, 48.87303052058622], [2.302109841904161, 48.872999734166775], [2.302165250932537, 48.87296286668507], [2.30220872705788, 48.87293245884345], [2.302393705753375, 48.87280949607381], [2.302259144438369, 48.87272177680342], [2.302159407816012, 48.87279066783043], [2.302146621519775, 48.87279916492387], [2.30213639186105, 48.87280590701457], [2.30211508081029, 48.87282058415218], [2.302075014297662, 48.87284846310517], [2.302037540861162, 48.872825267296435], [2.301988996524916, 48.872794269871044], [2.301870618130773, 48.872717093091936], [2.301850151855893, 48.87274055269797], [2.301818599617371, 48.87277869236618], [2.301787901632597, 48.8728131083323], [2.301757202593712, 48.872848718610875], [2.301726503841301, 48.87288460947734], [2.301708596708354, 48.87290561079231], [2.301687279425669, 48.87292836751281], [2.301658284868741, 48.872964048862045], [2.30163270290737, 48.872992704662224]]], ""type"": ""Polygon""}";1090;8;750015799
48.8722787464,2.37875197155;"{""coordinates"": [[[2.37859728232205, 48.87228760808381], [2.378506225246792, 48.872419442050365], [2.378651957435485, 48.87245985573149], [2.378742164453924, 48.87233034113268], [2.378886191036088, 48.87237075467326], [2.37900107541734, 48.872204275704355], [2.378743684466712, 48.872111914684254], [2.378725812483283, 48.87213672184431], [2.378705359252502, 48.87213047681606], [2.37859728232205, 48.87228760808381]]], ""type"": ""Polygon""}";1161;20;750070925
48.8743852586,2.34718788216;"{""coordinates"": [[[2.347277020193138, 48.87444940638344], [2.347253986624498, 48.87431072350149], [2.347097207536251, 48.874322541046276], [2.347122798548427, 48.874459256667926], [2.347277020193138, 48.87444940638344]]], ""type"": ""Polygon""}";1011;9;750018002
48.8713021482,2.29004642299;"{""coordinates"": [[[2.290366084844125, 48.87119716662597], [2.290320944767283, 48.871178389572016], [2.290256217535173, 48.87115103351902], [2.290210226848918, 48.87113155438563], [2.290206816121768, 48.87113443364989], [2.290050106345341, 48.87107092870659], [2.289829216767, 48.87130015295776], [2.289807895391975, 48.871322275358395], [2.28972857906368, 48.871405214507035], [2.290037738567928, 48.8715360174312], [2.290093174741724, 48.87147857049726], [2.290112789888895, 48.87145869618589], [2.290118760449225, 48.871451954130045], [2.290141786355926, 48.871428498164], [2.290149461643922, 48.87142091363707], [2.290247539835084, 48.87131943394458], [2.290317472004787, 48.871247660843935], [2.290366084844125, 48.87119716662597]]], ""type"": ""Polygon""}";1229;16;750047299
48.8692387338,2.34998045785;"{""coordinates"": [[[2.34985234566662, 48.869289824573485], [2.34993158182892, 48.869298737529185], [2.349943509805705, 48.86930140590376], [2.34995373370443, 48.869303091035974], [2.349969922282213, 48.86930463498782], [2.349983554645479, 48.869305968099724], [2.350032971942251, 48.86931446273391], [2.350095135019953, 48.86919572302545], [2.349954546879478, 48.869152391960256], [2.34985234566662, 48.869289824573485]]], ""type"": ""Polygon""}";1485;2;750001691
48.8690728989,2.33243600432;"{""coordinates"": [[[2.33228876812455, 48.86918304289343], [2.33264746539969, 48.86902750908494], [2.332587832175586, 48.86896336369872], [2.33247195980946, 48.86901141425034], [2.33243787917733, 48.869025816014926], [2.332359494779334, 48.86905834152952], [2.33232626571407, 48.86907309425916], [2.332225728254475, 48.869117843186345], [2.33228876812455, 48.86918304289343]]], ""type"": ""Polygon""}";1503;2;750002313
48.8689575828,2.35788816151;"{""coordinates"": [[[2.357791901132849, 48.869160541145526], [2.357911170012512, 48.86913930096974], [2.358096880052529, 48.86908917406015], [2.357997912785451, 48.868764329341545], [2.357988541700593, 48.86876566585976], [2.357905054686214, 48.868778187407564], [2.357673332639576, 48.86881265600988], [2.357733042722409, 48.86898737117738], [2.357791901132849, 48.869160541145526]]], ""type"": ""Polygon""}";1506;10;750022453
48.8689672597,2.35297201132;"{""coordinates"": [[[2.352987570451483, 48.869088762907005], [2.353054871519679, 48.869074842461785], [2.352969603730287, 48.86885425163884], [2.352883559320752, 48.86886775323485], [2.352935564882614, 48.868978468983805], [2.352951763330958, 48.86901247070357], [2.352987570451483, 48.869088762907005]]], ""type"": ""Polygon""}";1513;2;750002759
48.8689369832,2.27735522167;"{""coordinates"": [[[2.277483636177786, 48.86904531406432], [2.277471727117819, 48.86902935968084], [2.277413885767143, 48.86895176725708], [2.277409633842851, 48.868945863445674], [2.27737560734441, 48.86890130304648], [2.277338180812213, 48.86885154275829], [2.277299903720668, 48.868799814041836], [2.277247058145207, 48.86881917719024], [2.277228306101603, 48.86882647458725], [2.277270833082772, 48.868885722360474], [2.277282742447404, 48.868901254973935], [2.277308258575609, 48.86893702864231], [2.277392463508278, 48.86905425898599], [2.277404372356924, 48.86907042382339], [2.277483636177786, 48.86904531406432]]], ""type"": ""Polygon""}";1514;16;750052189
