Identifiant livraison;Adresse du programme;Code postal;Ville;Année du financement - agrément;Bailleur social;Nombre total de logements financés;Dont nombre de logements PLA I;Dont nombre de logements PLUS;Dont nombre de logements PLUS CD;Dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissement;Nature de programme;COORD_X_L93;COORD_Y_L93;geo_shape;geo_point_2d
3104;"70, AVENUE DU GENERAL LECLERC
1T RUE THIBAUD";75014;Paris;2017;IMM 3F;9;0;0;0;9;construction neuve;;14;logement familial;650667.11;6859032.306;"{""coordinates"": [2.3279911871348222, 48.82945899687512], ""type"": ""Point""}";48.82945899687512,2.3279911871348222
2799;8, RUE DES BOIS;75019;Paris;2015;PARIS HAB;9;0;0;0;9;acquisition conventionnement;;19;logement familial;655745.0694;6864374.6067;"{""coordinates"": [2.396603829167848, 48.87787079277598], ""type"": ""Point""}";48.87787079277598,2.396603829167848
2802;10 BIS A 14, QUAI HENRI IV - 11 BD MORLAND;75004;Paris;2015;RES.L.F.;7;0;0;0;7;construction neuve;;4;logement familial;653364.4676;6861149.7942;"{""coordinates"": [2.364500614847195, 48.84870249748536], ""type"": ""Point""}";48.84870249748536,2.364500614847195
2811;2-2 BIS, RUE JEAN CALVIN;75005;Paris;2015;RIVP;24;12;10;0;2;acquisition conventionnement;;5;logement familial;652244.57676;6860363.492;"{""coordinates"": [2.349328909567666, 48.84154925558627], ""type"": ""Point""}";48.84154925558627,2.349328909567666
2821;10-16, RUE CHARLES DELESCLUZE 29, RUE DE LA FORGE ROYALE;75011;Paris;2015;RIVP;55;17;22;0;16;acquisition conventionnement;;11;logement familial;654522.16791;6861561.1118;"{""coordinates"": [2.380231873742448, 48.85248422078424], ""type"": ""Point""}";48.85248422078424,2.380231873742448
2680;4, VILLA FAUCHEUR;75020;Paris;2015;ADOMA;1;1;0;0;0;construction neuve;;20;résidence sociale pour démuni;654980.75987;6863726.3305;"{""coordinates"": [2.386251928203564, 48.871988004962425], ""type"": ""Point""}";48.871988004962425,2.386251928203564
2686;219 RUE SAINT MAUR;75010;Paris;2015;AXIMO;1;0;1;0;0;acquisition conventionnement;;10;logement familial;653834.17521;6863873.0078;"{""coordinates"": [2.3706052346504682, 48.8732258774825], ""type"": ""Point""}";48.8732258774825,2.3706052346504682
2732;95, RUE CHARDON LAGACHE;75016;Paris;2015;ELOGIE;9;9;0;0;0;acquisition réhabilitation;;16;logement familial;645933.18327;6860294.3332;"{""coordinates"": [2.263349206037719, 48.84042869427104], ""type"": ""Point""}";48.84042869427104,2.263349206037719
2757;5, IMPASSE DES CHEVALIERS;75020;Paris;2015;HSF;7;0;7;0;0;construction neuve;;20;logement familial;655727.3136;6863742.2284;"{""coordinates"": [2.396427651157341, 48.87218272295171], ""type"": ""Point""}";48.87218272295171,2.396427651157341
2764;6, RUE PASTEUR;75011;Paris;2015;LOG.FR.;25;0;0;0;25;acquisition conventionnement;;11;logement familial;654147.02769;6862612.3708;"{""coordinates"": [2.375006314107656, 48.86191152267192], ""type"": ""Point""}";48.86191152267192,2.375006314107656
