Numéro de la demande;Date de la demande;Siret du commerce;Nom de l’enseigne;Adresse du commerce;Installations demandées et dimensions;Arrondissement;Code Arrondissement;geo_point_2d
DSN20310;2021-07-20;;À LA PLACE SAINT GEORGES;60 rue Saint georges 75009;Contre-terrasse estivale sur stationnement (L=13,00m l=2,00m);9;75109;48.87812799992605,2.337574999646678
DSN22663;2021-07-26;;A LA VILLE DE PETROGRAD;13 rue Daru 75008;"Contre-terrasse estivale sur stationnement (L=4,10m l=1,70m) ; Terrasse estivale sur trottoir face à la devanture (L=3,60m l=0,60m)";8;75108;48.87804599984053,2.301865000459236
DSN22766;2021-07-27;;ZHANG'S GOURMETS;42 rue Pierre Nicole 75005;Terrasse estivale sur trottoir face à la devanture (L=4,00m l=1,00m);5;75105;48.839783999671454,2.338636000509437
DSN24715;2021-07-29;;L'ATELIER ARTISAN CREPIER;10 rue Mabillon 75006;Contre-terrasse permanente sur stationnement (L=7,50m l=1,60m);6;75106;48.852185999626315,2.335137000099346
DSN24760;2021-07-29;;CROQ NIVERT;8 rue de la Croix Nivert;Terrasse estivale sur trottoir face à la devanture (L=4,00m l=0,50m);15;75115;48.84730899985788,2.300534000419331
DSN22786;2021-07-27;;SAIGON VIETNAM;33 rue de Turin 75008;Contre-terrasse estivale sur stationnement (L=4,00m l=1,70m);8;75108;48.88257799976651,2.324193999391059
DSN22825;2021-07-27;;ASIAN SOUPE;25 boulevard de la Villette 75010;Terrasse estivale sur trottoir face à la devanture (L=24,00m l=2,50m);10;75110;48.873406999910884,2.375141999798347
DSN22883;2021-07-27;;HOUSE OF 3 BROTHERS;23 rue de Lancry 75010;Contre-terrasse estivale sur stationnement (L=6,00m l=1,70m);10;75110;48.870059999606866,2.36077499978872
DSN18473;2021-07-10;;MORELLI LOUNGE CAFE;29 boulevard de Reuilly 75012;"Terrasse estivale sur trottoir face à la devanture (L=3,25m l=1,20m) ; Contre-terrasse estivale sur aire piétonne provisoire (L=7,70m l=3,00m)";12;75112;48.83944399978653,2.3923150001261533
DSN18534;2021-07-11;;FRINGE;106 rue de Turenne 75003;Contre-terrasse estivale sur trottoir désaxée par rapport à la devanture (L=6,00m l=0,55m);3;75103;48.862735999899904,2.364760000148477
DSN18536;2021-07-11;;LE CABANON;75 place du Docteur Felix Lobligeois 75017;Contre-terrasse estivale sur voie piétonne (L=15,00m l=7,30m);17;75117;48.8866670001861,2.317365000518146
