Numéro de la demande;Date de la demande;Siret du commerce;Nom de l’enseigne;Adresse du commerce;Installations demandées et dimensions;Arrondissement;Code Arrondissement;geo_point_2d
DSN17054;2021-07-06;;CHOPE-MOI;32 boulevard de Clichy 75018;"Contre-terrasse estivale sur stationnement (L=12,80m l=1,85m) ; Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=4,00m l=1,20m)";18;75118;48.88277400041951,2.3367580005164212
DSN17102;2021-07-06;;EPICERIE ELMER;19 rue Notre dame de Nazareth 75003;Contre-terrasse estivale sur stationnement (L=3,80m l=1,80m);3;75103;48.867175999753904,2.359765999827646
DSN17109;2021-07-06;;BAR À IODE;18 rue Jean Mace 75011;Contre-terrasse estivale sur stationnement (L=11,00m l=1,50m);11;75111;48.85338799968384,2.38303799953652
DSN19052;2021-07-13;;ARTHÉ;27 rue Campagne Premiere 75014;Contre-terrasse estivale sur stationnement (L=5,00m l=1,20m);14;75114;48.83917200032851,2.331753999848415
DSN19056;2021-07-13;;LE SEVRES;96 rue de Sevres 75007;Contre-terrasse estivale sur stationnement (L=10,00m l=2,00m);7;75107;48.84621299976247,2.314365999611084
DSN28334;2021-08-11;;SPHINX CAFE;37 rue de la Gaite 75014;Contre-terrasse estivale sur stationnement (L=8,00m l=1,80m);14;75114;48.83900000009396,2.323123000620381
DSN43148;2022-02-08;;RESTAURANT CAPITAINE;4 impasse Guemenee 75004;"Contre-terrasse estivale sur stationnement (L=4,30m l=2,00m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=8,00m l=1,00m)";4;75104;48.85406500016809,2.365857000439403
DSN43158;2022-02-08;;IL FORNO DI NAPOLI;162 boulevard du Montparnasse 75014;Terrasse estivale sur trottoir face à la devanture (L=11,00m l=1,50m);14;75114;48.83999500032394,2.3350440001105772
DSN40343;2022-01-25;;BERMANI PÈRE ET FILS;5 rue Brea 75006;Contre-terrasse estivale sur stationnement (L=3,80m l=1,90m);6;75106;48.84349500018525,2.330384000626634
DSN40404;2022-01-26;;CUBA COMPAGNIE CAFE;48 boulevard Beaumarchais 75011;Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=4,00m l=2,00m);11;75111;48.857142999557624,2.368438999509337
DSN40411;2022-01-26;;CUBA COMPAGNIE CAFE;48 boulevard Beaumarchais 75011;Contre-terrasse estivale sur trottoir face à la devanture (L=4,00m l=2,00m);11;75111;48.857142999557624,2.368438999509337
DSN40427;2022-01-26;;ASTORIA BAR;3 rue Ramey 75018;Contre-terrasse estivale sur stationnement (L=4,20m l=0,90m);18;75118;48.887123999622105,2.347401999766284
DSN40476;2022-01-27;;LAO;7 rue de Douai 75009;Contre-terrasse estivale sur stationnement (L=6,50m l=1,80m);9;75109;48.8813510000179,2.335573000202051
DSN43298;2022-02-09;;DE GAITE DE COEUR;33 rue de la Gaite 75014;"Terrasse estivale sur trottoir face à la devanture (L=5,50m l=1,60m) ; Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=11,00m l=1,60m)";14;75114;48.839248000216045,2.323326999801586
DSN35184;2021-10-06;;MAITRE PIERRE;7 rue Marbeuf 75008;"Contre-terrasse permanente sur stationnement (L=8,00m l=2,00m) ; Contre-terrasse permanente sur stationnement (L=8,00m l=1,70m)";8;75108;48.86760700044062,2.302225999849407
DSN35232;2021-10-07;;VINGT-2;20 avenue George v 75008;"Contre-terrasse permanente sur stationnement (L=10,00m l=2,00m) ; Contre-terrasse permanente sur stationnement (L=10,00m l=1,90m)";8;75108;48.8671590002608,2.301547999556123
DSN35259;2021-10-08;;HOTEL CONVENTION MONTPARNASSE;41 rue Alain Chartier 75015;Terrasse estivale sur trottoir face à la devanture (L=5,00m l=4,00m);15;75115;48.83721699982516,2.297141999747912
DSN35319;2021-10-08;;DORA JESSI;28 rue des Carmes 75005;Contre-terrasse permanente sur stationnement (L=3,70m l=1,10m);5;75105;48.848393999842905,2.347068000474856
DSN35328;2021-10-08;;LE MUSCADET;132 boulevard de Charonne 75020;Contre-terrasse estivale sur places et terre-pleins (L=9,30m l=2,60m);20;75120;48.85566199981038,2.395396000228025
DSN43499;2022-02-10;;L'ARTISAN;25 rue de la Butte aux Cailles 75013;Contre-terrasse permanente sur stationnement (L=9,30m l=1,80m);13;75113;48.8275879996616,2.349428000315061
DSN43522;2022-02-10;;LE VICTORY;33 avenue Franklin D. Roosevelt 75008;Contre-terrasse estivale sur stationnement (L=7,00m l=1,80m);8;75108;48.867513999747985,2.309920000567684
DSN35420;2021-10-11;;LA CEVICHERIA;16 avenue Niel 75017;Contre-terrasse estivale sur stationnement (L=8,30m l=2,00m);17;75117;48.88008100010528,2.295167000635428
DSN35423;2021-10-11;;Ô'P'TI PARIS;8 Cour des Petites Ecuries 75010;Contre-terrasse estivale sur trottoir désaxée par rapport à la devanture (L=7,00m l=1,00m);10;75110;48.87257099963036,2.353179999614727
DSN35440;2021-10-11;;ROOSTER;137 rue Cardinet 75017;Contre-terrasse estivale sur stationnement (L=7,00m l=1,60m);17;75117;48.88676499979941,2.313146999603613
DSN38013;2021-11-02;;RESTAURANT LES COLTINEURS;97 avenue de Versailles 75016;"Contre-terrasse estivale sur trottoir face à la devanture (L=4,20m l=1,10m) ; Contre-terrasse estivale sur trottoir désaxée par rapport à la devanture (L=8,10m l=3,70m)";16;75116;48.84529300027233,2.271826000385444
DSN38094;2021-11-03;;LA QUINCAVE;17 rue Brea 75006;Contre-terrasse permanente sur stationnement (L=5,00m l=1,80m);6;75106;48.84298399972009,2.330082999420462
DSN38120;2021-11-03;;L'OYAT;11 rue Notre dame de Nazareth 75003;Contre-terrasse permanente sur stationnement (L=7,00m l=1,90m);3;75103;48.8670680001543,2.360528000455163
DSN38133;2021-11-03;;CAVIAR DE NEUVIC;16 rue de l'Odeon 75006;Contre-terrasse estivale sur stationnement (L=4,70m l=2,00m);6;75106;48.85065800030124,2.338600000044476
DSN43526;2022-02-10;;GRAND HÔTEL DES ARTS ET MÉTIERS;4 rue Borda 75003;Terrasse estivale sur trottoir face à la devanture (L=3,60m l=2,60m);3;75103;48.86624799987803,2.3574009999407473
DSN43578;2022-02-10;;LES FONTAINES;12 rue Brisemiche 75004;Contre-terrasse estivale sur places et terre-pleins (L=7,00m l=3,00m);4;75104;48.85954799987777,2.35195999951465
DSN43624;2022-02-10;;CHAMPION;55 rue Championnet 75018;Terrasse estivale sur trottoir face à la devanture (L=7,00m l=4,25m);18;75118;48.895644000093284,2.347313999570323
DSN35536;2021-10-12;;LES VOISINS;14 rue de Capri 75012;Terrasse estivale sur trottoir face à la devanture (L=8,00m l=1,00m);12;75112;48.83613999975309,2.398917000542474
DSN35570;2021-10-13;;LE CHAT IVRE;22 rue des Taillandiers 75011;"Terrasse estivale sur trottoir face à la devanture (L=7,00m l=0,50m) ; Contre-terrasse permanente sur stationnement (L=14,20m l=1,80m)";11;75111;48.85503699973439,2.374960999868049
DSN35622;2021-10-14;;POMPETTE;15 rue Hippolyte Lebas 75009;Contre-terrasse permanente sur stationnement (L=8,50m l=1,70m);9;75109;48.87711000015143,2.340152999690971
DSN43743;2022-02-11;;LOUIE LOUIE;78 rue de Charonne 75011;Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=6,00m l=0,70m);11;75111;48.85350099967293,2.380310000405902
DSN43777;2022-02-11;;LE GAVROCHE;19 rue Saint marc 75002;Contre-terrasse estivale sur stationnement (L=10,35m l=1,80m);2;75102;48.87041099995259,2.34016400032599
DSN43826;2022-02-11;;MARCHON;16 rue Deguerry 75011;Terrasse estivale sur trottoir face à la devanture (L=6,40m l=2,50m);11;75111;48.86898499978843,2.374131000303539
DSN35784;2021-10-18;;X BERGERE;17 rue Bergere 75009;Contre-terrasse permanente sur stationnement (L=11,70m l=2,00m);9;75109;48.87227700011421,2.34558699941622
DSN38387;2021-11-09;;LA CANONNIERE;57 rue de la Fontaine au Roi 75011;Contre-terrasse estivale sur stationnement (L=5,30m l=1,70m);11;75111;48.86828300007382,2.373944999410322
DSN38409;2021-11-09;;INFORM CAFE;25 rue des Acacias 75017;Terrasse estivale sur trottoir face à la devanture (L=4,73m l=2,40m);17;75117;48.877019000004694,2.291779999658892
DSN38418;2021-11-09;;OUZBEKISTAN;53 rue Amelot 75009;Contre-terrasse permanente sur stationnement (L=7,00m l=2,50m);11;75111;48.858009999616584,2.368516000649613
DSN41189;2022-01-31;;WASHINGTON POSTE;3 rue Washington 75008;Contre-terrasse estivale sur stationnement (L=7,00m l=1,70m);8;75108;48.87235799985158,2.301682999584181
DSN41208;2022-01-31;;LE BOUIBOUI;11 rue Marie Stuart 75002;Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=7,00m l=70,00m);2;75102;48.86499699968789,2.3476420002821943
DSN43869;2022-02-11;;LE GRIBOUILLE;44 rue de Rivoli 75004;Terrasse estivale sur trottoir face à la devanture (L=12,00m l=3,50m);4;75104;48.85672800013637,2.355226999882899
DSN43900;2022-02-12;;YOKI;18 rue du Maine 75014;Terrasse estivale sur trottoir face à la devanture (L=8,00m l=1,00m);14;75114;48.840675000371924,2.322375000392761
DSN44002;2022-02-13;;YUXI;21 rue Saint augustin 75002;Terrasse estivale sur trottoir face à la devanture (L=3,50m l=1,00m);2;75102;48.86882700013974,2.336155999590352
DSN44023;2022-02-13;;L'ANGLE BABYLONE;37 rue Barbet de Jouy 75007;Contre-terrasse estivale sur stationnement (L=8,50m l=2,00m);7;75107;48.85186600037058,2.3172330001557793
DSN35861;2021-10-19;;CHEZ MICH;45 rue Championnet 75018;"Terrasse estivale sur trottoir face à la devanture (L=7,50m l=1,80m) ; Contre-terrasse permanente sur stationnement (L=7,50m l=1,80m)";18;75118;48.89556200031729,2.348037999768112
DSN35888;2021-10-20;;JUGAAD;16 rue Favart 75002;"Contre-terrasse permanente sur stationnement (L=4,00m l=2,00m) ; Contre-terrasse permanente sur stationnement (L=10,00m l=1,00m)";2;75102;48.87125899984038,2.338261999828925
DSN35907;2021-10-20;;LE TROIS QUART;49 rue Laugier 75017;Contre-terrasse estivale sur stationnement (L=10,00m l=1,80m);17;75117;48.882618000306316,2.293941000464764
DSN35954;2021-10-21;;LA TRATTORIA DI AUGUSTINO;121 avenue de Clichy 75017;Contre-terrasse estivale sur stationnement (L=6,00m l=2,00m);17;75117;48.88995900015736,2.321022999860116
DSN38520;2021-11-12;;CHEZ HL;1 rue de Budapest 75009;Contre-terrasse estivale sur trottoir face à la devanture (L=5,50m l=2,30m);9;75109;48.87595799980521,2.327624999392714
DSN38546;2021-11-15;;BERMANI PÈRE ET FILS;5 rue Brea 75006;Contre-terrasse permanente sur stationnement (L=1,70m l=1,50m);6;75106;48.84349500018525,2.330384000626634
DSN38621;2021-11-19;;NOIR BARISTA ET TORRÉFACTEUR;120 boulevard Haussmann 75008;Contre-terrasse permanente sur stationnement (L=6,10m l=1,80m);8;75108;48.87509300041066,2.318281999318848
DSN41284;2022-01-31;;OLIVE ET THYM;60 rue Quincampoix 75004;Contre-terrasse estivale sur trottoir face à la devanture (L=3,00m l=8,00m);4;75104;48.8615759998208,2.350820000578171
DSN44049;2022-02-14;;COME PRIMA;33 rue Godot de Mauroy 75009;Contre-terrasse estivale sur stationnement (L=12,00m l=1,60m);9;75109;48.87215600040363,2.327288999636145
DSN44057;2022-02-14;;L'ÉTOILE;144 avenue Jean Jaures 75019;Contre-terrasse estivale sur trottoir désaxée par rapport à la devanture (L=3,00m l=3,00m);19;75119;48.88693099977027,2.386645000459363
DSN44080;2022-02-14;;LE TROISIEME CAFE;16 rue de Beauce 75003;Contre-terrasse estivale sur places et terre-pleins (L=8,00m l=2,00m);3;75103;48.86302599997724,2.361411999965768
DSN44104;2022-02-14;;RESTAURANT YASUBE;9 rue Sainte anne 75001;Contre-terrasse estivale sur stationnement (L=8,50m l=1,80m);1;75101;48.865907000040316,2.335233999571711
DSN44105;2022-02-14;;RED CHICKEN;108 rue Saint denis 75002;Contre-terrasse estivale sur voie piétonne (L=7,00m l=1,70m);2;75102;48.86380399995587,2.350151999942764
DSN44209;2022-02-14;;LE 10 BAR ODÉON;10 rue de l'Odeon 75006;Contre-terrasse estivale sur stationnement (L=1,80m l=5,40m);6;75106;48.851050000356494,2.338592999450997
DSN44277;2022-02-15;;LE PETIT RADIS;38 rue du Chateau des Rentiers 75013;Terrasse estivale sur trottoir face à la devanture (L=13,00m l=1,60m);13;75113;48.82483800035276,2.370050999806996
DSN36016;2021-10-21;;ANNAPURNA;32 rue de Berri 75008;Contre-terrasse permanente sur stationnement (L=19,00m l=1,80m);8;75108;48.87349899960079,2.306278999863018
DSN38713;2021-11-23;;LES BLEDARDS;161 Quai de Valmy 75010;Contre-terrasse permanente sur stationnement (L=13,00m l=1,40m);10;75110;48.87859500002922,2.366058000636051
DSN38790;2021-11-25;;LE VINTIMILLE;1 place Adolphe Max 75009;Contre-terrasse estivale sur places et terre-pleins (L=7,00m l=3,00m);9;75109;48.88318200020497,2.330412999749454
DSN38797;2021-11-26;;CABARET POPULAIRE CULTURE RAPIDE;103 rue Julien Lacroix 75020;Contre-terrasse estivale sur places et terre-pleins (L=5,20m l=5,60m);20;75120;48.87298699988599,2.381957000635926
DSN38845;2021-11-28;;LA GOURMANDISE;28 rue Augereau 75007;Contre-terrasse permanente sur stationnement (L=10,00m l=2,00m);7;75107;48.856443999632084,2.302582000266118
DSN41425;2022-02-01;;AU PETIT THAI;10 rue du Roi de Sicile 75004;Terrasse estivale sur trottoir face à la devanture (L=10,00m l=0,90m);4;75104;48.85581099958871,2.360051000121148
DSN44400;2022-02-15;;GOD BLESS BROCCOLI;52 rue Piat 75020;Contre-terrasse estivale sur stationnement (L=10,00m l=1,70m);20;75120;48.873105999620144,2.383688999920368
DSN44435;2022-02-15;;MOÏ;5 rue Daunou 75002;Contre-terrasse estivale sur trottoir face à la devanture (L=7,60m l=2,30m);2;75102;48.869253000342496,2.332101999709084
DSN36223;2021-10-26;;RIDY;1 rue Jean de la Fontaine 75016;Contre-terrasse estivale sur trottoir face à la devanture (L=7,50m l=1,60m);16;75116;48.852564999548825,2.275512999636887
DSN41575;2022-02-01;;SMOKE;29 rue Delambre 75014;Contre-terrasse estivale sur stationnement (L=9,50m l=1,80m);14;75114;48.841436000368205,2.326631999786837
DSN44497;2022-02-16;;PERE FOUETTARD;9 rue Pierre Lescot 75001;Terrasse estivale sur trottoir face à la devanture (L=15,00m l=2,00m);1;75101;48.862589000309185,2.348384000240061
DSN36453;2021-10-27;;LE BISTROT D'ARSENE;10 rue Arsene Houssaye 75008;Contre-terrasse permanente sur stationnement (L=12,50m l=1,75m);8;75108;48.87464100007143,2.299824999945632
DSN39009;2021-12-02;;CRÊPERIE DE SAINT-MALO;53 rue du Montparnasse 75014;Contre-terrasse estivale sur stationnement (L=1,60m l=9,00m);14;75114;48.84220399994721,2.325775000514979
DSN39041;2021-12-03;;RESTAURANT LA PAIX;14 rue d'Odessa 75014;Contre-terrasse permanente sur stationnement (L=8,00m l=2,00m);14;75114;48.84229700023631,2.324454000285678
DSN39054;2021-12-06;;FLAVIO;11 rue Cardinet 75017;Contre-terrasse permanente sur stationnement (L=7,00m l=0,60m);17;75117;48.88155400030133,2.30186699958248
DSN39151;2021-12-09;;EPICERIE ELMER;19 rue Notre dame de Nazareth 75003;Contre-terrasse estivale sur stationnement (L=3,80m l=1,80m);3;75103;48.867175999753904,2.359765999827646
DSN41818;2022-02-02;;AU NOUVEAU NEZ;104 rue Saint maur 75011;Contre-terrasse estivale sur stationnement (L=5,70m l=1,80m);11;75111;48.86616700036063,2.377005999729517
DSN41832;2022-02-02;;TABLE DE LA GRACE;23 rue du Val de Grace 75005;Contre-terrasse estivale sur stationnement (L=10,00m l=2,00m);5;75105;48.84159400010172,2.338114000636748
DSN41879;2022-02-03;;HELLFEST CORNER;37 rue Quincampoix 75004;Terrasse estivale sur trottoir face à la devanture (L=7,00m l=2,00m);4;75104;48.86081800032517,2.350331000333701
DSN41909;2022-02-03;;LE DISCOBAR;92 rue Rebeval 75019;Contre-terrasse estivale sur stationnement (L=9,00m l=1,80m);19;75119;48.87367299961309,2.382858999898296
DSN36596;2021-10-27;;STREET BANGKOK PIGALLE;28 rue de Douai 75009;Contre-terrasse estivale sur stationnement (L=7,70m l=1,70m);9;75109;48.88253099965772,2.332927000587705
DSN36663;2021-10-27;;GABRIELA;3 rue Milton 75009;Contre-terrasse permanente sur stationnement (L=6,00m l=1,00m);9;75109;48.87695000012877,2.340434000002566
DSN36734;2021-10-27;;LES KOUPOLES;55 rue des Mathurins 75008;Contre-terrasse estivale sur stationnement (L=12,00m l=1,60m);8;75108;48.87338900004407,2.321932000652906
DSN39219;2021-12-13;;HOTEL AMOUR;8 rue de Navarin 75009;Contre-terrasse estivale sur stationnement (L=11,00m l=1,68m);9;75109;48.879595999711086,2.339391999981817
DSN39277;2021-12-16;;BIBICHE;42 rue Lepic 75018;Contre-terrasse permanente sur stationnement (L=8,00m l=1,80m);18;75118;48.8860950000981,2.334535999357928
DSN39307;2021-12-19;;LE MALESHERBES;17 boulevard Malesherbes 75008;Contre-terrasse estivale sur stationnement (L=11,50m l=1,50m);8;75108;48.87185300029309,2.321718999527992
DSN36814;2021-10-27;;LE BLOC;21 rue Brochant 75017;"Contre-terrasse estivale sur stationnement (L=10,00m l=2,00m) ; Contre-terrasse estivale sur stationnement (L=7,50m l=1,80m)";17;75117;48.88910799994804,2.318008999359376
DSN19994;2021-07-19;;RESTAURANT MAKHAM THAÏ;11 rue de Montyon 75009;Contre-terrasse estivale sur stationnement (L=8,00m l=1,80m);9;75109;48.87304200017259,2.34402199990245
DSN20000;2021-07-19;;DÉDÉ LA FRITE;52 rue Notre dame des Victoires 75002;"Contre-terrasse estivale sur stationnement (L=14,00m l=2,00m) ; Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=3,00m l=1,00m)";2;75102;48.86979500018638,2.342545000502823
DSN22448;2021-07-26;;ECHIZENSOBA TOGO;33 rue Saint roch 75001;Contre-terrasse permanente sur stationnement (L=6,00m l=10,00m);1;75101;48.86593900000802,2.332545999536593
DSN22437;2021-07-26;;LA CANTINA;11 rue Claude Terrasse 75016;Contre-terrasse estivale sur places et terre-pleins (L=5,20m l=2,80m);16;75116;48.839395000165275,2.263202000374083
DSN22441;2021-07-26;;TRATTORIA DEL ANGELO;6 avenue Rapp 75007;Contre-terrasse permanente sur stationnement (L=21,30m l=1,70m);7;75107;48.86062600019312,2.300826000033533
DSN24498;2021-07-28;;MÛRE;10 rue la Boetie 75008;Terrasse estivale sur trottoir face à la devanture (L=2,40m l=0,60m);8;75108;48.87438799958845,2.318032000549379
DSN24544;2021-07-28;;SALON DE THÉ;9b boulevard de Belleville 75011;"Terrasse estivale sur trottoir face à la devanture (L=4,00m l=0,50m) ; Contre-terrasse estivale sur places et terre-pleins (L=5,00m l=3,00m)";11;75111;48.86779800011314,2.381840999404173
DSN24553;2021-07-28;;SARL NAILI;42 rue Jeanne d'Arc 75013;Terrasse estivale sur trottoir face à la devanture (L=1,00m l=2,00m);13;75113;48.83053199982494,2.367556999581087
DSN20179;2021-07-19;;FENG'S SUSHI BAR;31 rue de Tolbiac 75013;Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=3,50m l=1,30m);13;75113;48.82847200007087,2.373154999671992
DSN20187;2021-07-19;;L'INDOCHINE;86 avenue de Choisy 75013;Contre-terrasse estivale sur stationnement (L=6,82m l=1,90m);13;75113;48.82460000025611,2.36133600057067
DSN22503;2021-07-26;;LE PESCHADOIRES;163 rue Lecourbe 75015;Contre-terrasse estivale sur stationnement (L=6,50m l=1,85m);15;75115;48.84126099975314,2.298420999382917
DSN22506;2021-07-26;;TJ ASIAN FUSION;58 avenue de Choisy 75013;"Terrasse estivale sur trottoir face à la devanture (L=5,00m l=0,60m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=3,00m l=3,00m)";13;75113;48.82320400026923,2.362431999611538
DSN22565;2021-07-26;;HARM;174 rue du Faubourg Saint antoine 75012;Terrasse estivale sur trottoir face à la devanture (L=1,50m l=1,00m);12;75112;48.85021700038292,2.382281999452922
DSN24561;2021-07-28;;LA TABLE AFGHANE;107 rue Didot 75014;Contre-terrasse estivale sur stationnement (L=5,90m l=1,90m);14;75114;48.82811199960953,2.315791000505739
DSN24587;2021-07-29;;YI BOWL NOODLE;54 rue Rene Boulanger 75010;Contre-terrasse estivale sur trottoir face à la devanture (L=9,00m l=6,00m);10;75110;48.86880199989874,2.359384999349547
DSN18230;2021-07-09;;LACAPPADOCE;98 rue de la Roquette 75011;Contre-terrasse estivale sur trottoir face à la devanture (L=11,00m l=1,60m);11;75111;48.85647499962277,2.377250999675389
DSN18235;2021-07-09;;SUZANNE;64 rue Lamarck 75018;Contre-terrasse estivale sur places et terre-pleins (L=11,00m l=4,00m);18;75118;48.88983400018397,2.340025000602957
DSN18272;2021-07-09;;L EPOQUE;23 rue Rollin 75005;Terrasse estivale sur trottoir face à la devanture (L=13,00m l=1,10m);5;75105;48.84477499997782,2.349868999904885
DSN20215;2021-07-20;;LA TROTTINETTE;23 rue de la Fontaine au Roi 75011;Contre-terrasse estivale sur stationnement (L=5,00m l=1,70m);11;75111;48.86843600044228,2.370620000509597
DSN20237;2021-07-20;;CREPOLOG';21 rue Neuve Saint pierre 75004;"Contre-terrasse estivale sur stationnement (L=11,00m l=1,80m) ; Contre-terrasse estivale sur stationnement (L=10,00m l=1,80m)";4;75104;48.85399300000656,2.362516000267859
DSN20293;2021-07-20;;RELAIS DE L'ENTRECÔTE;15 rue Marbeuf 75008;"Contre-terrasse estivale sur stationnement (L=8,50m l=1,70m) ; Contre-terrasse estivale sur stationnement (L=4,90m l=1,70m)";8;75108;48.8681570004214,2.30288299973803
DSN20323;2021-07-20;;SOSSO;36 rue Ramey 75018;"Contre-terrasse estivale sur stationnement (L=5,00m l=1,70m) ; Contre-terrasse estivale sur stationnement (L=5,00m l=1,70m)";18;75118;48.88957700043838,2.346240999314354
DSN20338;2021-07-20;;CREPERIE DES CANETTES;10 rue des Canettes 75006;Terrasse estivale sur trottoir face à la devanture (L=10,00m l=5,00m);6;75106;48.85223499955481,2.333645000499375
DSN22646;2021-07-26;;CHEZ MARIE;219 rue Saint maur 75010;Contre-terrasse estivale sur stationnement (L=10,00m l=1,80m);10;75110;48.8732289997193,2.370624000435316
DSN22662;2021-07-26;;MARCUS PIZZE  AMORE;4 rue Bichat 75010;Contre-terrasse estivale sur stationnement (L=7,00m l=1,60m);10;75110;48.86972399987278,2.369274000405419
DSN22767;2021-07-27;;LES MAINS D'OR;44 rue de l'Amiral Mouchez 75014;Contre-terrasse estivale sur stationnement (L=10,30m l=2,20m);14;75114;48.82333100010325,2.341399000453607
DSN18414;2021-07-10;;ANIMA;78 rue du Cherche midi 75006;Contre-terrasse estivale sur stationnement (L=5,00m l=1,70m);6;75106;48.84803699981928,2.323510000189209
DSN22795;2021-07-27;;RAVIOLI BAR;36 rue Keller 75011;Contre-terrasse estivale sur stationnement (L=6,00m l=2,00m);11;75111;48.855499000290116,2.375405000558755
DSN18591;2021-07-11;;JIAHAO;3 rue Joubert 75009;"Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=8,20m l=1,60m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=6,60m l=0,70m) ; Contre-terrasse estivale sur places et terre-pleins (L=5,20m l=1,50m)";9;75109;48.87455200045244,2.33226200057774
DSN20556;2021-07-22;;LE BALTO;210 rue Saint maur 75010;Contre-terrasse estivale sur stationnement (L=13,00m l=1,80m);10;75110;48.87306599973572,2.3709769996395282
DSN20579;2021-07-22;;MINH CHAU;10 rue de la Verrerie 75004;"Contre-terrasse estivale sur trottoir face à la devanture (L=10,00m l=4,50m) ; Terrasse estivale sur trottoir face à la devanture (L=10,00m l=4,45m)";4;75104;48.857226000102834,2.355122999324259
DSN22950;2021-07-27;;BISTROT PÉRE;10 avenue du Pere Lachaise 75020;"Terrasse estivale sur trottoir face à la devanture (L=6,50m l=0,60m) ; Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=5,00m l=0,60m)";20;75120;48.863976999859105,2.397843999920045
DSN22953;2021-07-27;;LES ARGENTIERS;24 rue de Reuilly 75012;Terrasse estivale sur trottoir face à la devanture (L=5,00m l=3,00m);12;75112;48.84704000042328,2.386863000231719
DSN25019;2021-07-29;;I LAZZARI;44 rue de la Montagne Sainte genevieve 75005;Contre-terrasse estivale sur places et terre-pleins (L=8,50m l=1,80m);5;75105;48.84768299987495,2.348455000449459
DSN25053;2021-07-29;;CAFE DU CHATEAU;143 rue du Chateau 75014;Contre-terrasse estivale sur trottoir face à la devanture (L=8,00m l=4,00m);14;75114;48.83437899993967,2.322066000243293
DSN18596;2021-07-12;;HANSAN;192 avenue Victor Hugo 75116;Contre-terrasse permanente sur stationnement (L=11,20m l=3,70m);16;75116;48.86510900034052,2.274254000110118
DSN18608;2021-07-12;;KHÂNA;69 rue Saint louis en l'Ile 75004;Contre-terrasse estivale sur trottoir désaxée par rapport à la devanture (L=4,60m l=1,70m);4;75104;48.85252500000394,2.354482999338703
DSN18615;2021-07-12;;IZA;30 rue Victor Masse 75009;Contre-terrasse estivale sur stationnement (L=9,80m l=2,40m);9;75109;48.881026999892924,2.337392000142661
DSN18696;2021-07-12;;LE DEPANNEUR TERRASSE;25 rue de Douai 75009;"Contre-terrasse estivale sur stationnement (L=8,50m l=2,20m) ; Contre-terrasse estivale sur stationnement (L=8,40m l=2,10m)";9;75109;48.88231100039313,2.333110999748575
DSN23053;2021-07-27;;DSA CHEZ KAREN;33 rue du Rocher 75008;Contre-terrasse estivale sur stationnement (L=3,00m l=1,70m);8;75108;48.87725200018638,2.321071000591171
DSN23098;2021-07-27;;LE RIVE GAUCHE;6 place Saint michel 75006;Contre-terrasse estivale sur places et terre-pleins (L=5,00m l=2,00m);6;75106;48.85353199985448,2.343445000180846
DSN23153;2021-07-27;;PUB ST HILAIRE;2 rue Valette 75005;Contre-terrasse estivale sur stationnement (L=4,00m l=1,50m);5;75105;48.84807900024226,2.346948000635204
DSN20787;2021-07-23;;LEMONI CAFE;5 place d'Estienne d'Orves 75009;Contre-terrasse estivale sur trottoir désaxée par rapport à la devanture (L=8,00m l=2,00m);9;75109;48.87683900008109,2.330712999344774
DSN20831;2021-07-23;;CAFÉ GALLERY;16 rue de Mogador 75009;"Terrasse estivale sur trottoir face à la devanture (L=3,00m l=0,90m) ; Terrasse estivale sur trottoir face à la devanture (L=5,00m l=0,60m)";9;75109;48.87438200025979,2.331424000100871
DSN23237;2021-07-27;;PISTACHE;24 rue Boursault 75017;Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=6,00m l=1,00m);17;75117;48.88388799977679,2.320197999660853
DSN16893;2021-07-06;;IL TRONCHETTO DI DOMENICO;22 rue de Lourmel 75015;Contre-terrasse estivale sur stationnement (L=10,00m l=2,00m);15;75115;48.849451000228115,2.291139000093878
DSN16917;2021-07-06;;INSTINCT ORIGINE;52 rue d'Aboukir 75002;Terrasse estivale sur trottoir face à la devanture (L=4,00m l=1,00m);2;75102;48.86731500019354,2.345716999559598
DSN18881;2021-07-12;;LA PETITE LOUISE;54 rue du Chateau d'Eau 75010;Terrasse estivale sur trottoir face à la devanture (L=20,00m l=2,50m);10;75110;48.871935000075275,2.356925000615356
DSN18938;2021-07-13;;L¿ALCHIMIE;18 rue des Bourdonnais 75001;Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=1,50m l=0,90m);1;75101;48.85911999999261,2.344188999807463
DSN20898;2021-07-24;;DADA TRATTORIA;48 rue de Ponthieu 75008;Contre-terrasse permanente sur stationnement (L=7,70m l=1,60m);8;75108;48.87157300042495,2.30698599957789
