N_SQ_VO;C_COINSEE;C_DESI;C_LIAISON;L_VOIE;L_COURTMIN;L_LONGMIN;C_VOIE;B_FANTOIR;B_OFF;C_VOIE_VP;Geometry;OBJECTID;C_DOMOFF;N_SQ_CO;LENGTH;Geometry X Y
750001459;75056;BD;;GOUVION-SAINT-CYR;Bd. Gouvion-Saint-Cyr;Boulevard Gouvion-Saint-Cyr;750564252;O;O;4215;"{""coordinates"": [[[2.284605623531306, 48.879041834122695], [2.284285189230715, 48.87830798656925], [2.284171432264408, 48.87813503058638], [2.284129118512238, 48.87820596394635], [2.284495887114429, 48.8790619548521], [2.284605623531306, 48.879041834122695]], [[2.284881157006196, 48.87967102040158], [2.284605623531306, 48.879041834122695]], [[2.284770444341167, 48.879696608924114], [2.284495887114429, 48.8790619548521]], [[2.284770444341167, 48.879696608924114], [2.284881157006196, 48.87967102040158]], [[2.285297412529941, 48.88067479283831], [2.285145976233552, 48.88057819551065], [2.284834704348268, 48.87983908297616], [2.284770444341167, 48.879696608924114]], [[2.285297412529941, 48.88067479283831], [2.285122970416095, 48.88018888023089], [2.284881157006196, 48.87967102040158]], [[2.2856172578358, 48.881797609320834], [2.285745829518008, 48.88165937667444], [2.285281640743442, 48.88084126778883], [2.285297412529941, 48.88067479283831]], [[2.285843010200799, 48.881921198576904], [2.285920462350874, 48.881744822100785], [2.285855203135327, 48.88162719523747], [2.285752825801091, 48.88143242025761], [2.285676136276255, 48.88129362750466], [2.285297412529941, 48.88067479283831]], [[2.28669607135159, 48.88257813689872], [2.286265047971516, 48.88236038565371], [2.286194473184679, 48.8822530076799], [2.286335616860428, 48.88230045274563], [2.28669607135159, 48.88257813689872]], [[2.287487229192902, 48.8830778479611], [2.287359849098835, 48.88304847654893], [2.28669607135159, 48.88257813689872]], [[2.287487229192902, 48.8830778479611], [2.287415572753579, 48.882984886113796], [2.28669607135159, 48.88257813689872]], [[2.288110676357873, 48.88346084698074], [2.287614785007359, 48.88320642692341], [2.287487229192902, 48.8830778479611]], [[2.288110676357873, 48.88346084698074], [2.287676076924738, 48.88313670546068], [2.287487229192902, 48.8830778479611]], [[2.288639551716662, 48.883792183171536], [2.288110676357873, 48.88346084698074]], [[2.290848645166648, 48.885054091521475], [2.2896499036084172, 48.88429251130214], [2.289294014718292, 48.88414339939195], [2.288639551716662, 48.883792183171536]], [[2.290848645166648, 48.885054091521475], [2.290774082542114, 48.88512831527446], [2.290658438541679, 48.885182719796155], [2.28961527902036, 48.88452400685391], [2.289469246707012, 48.88441623100811], [2.289211149332449, 48.88421541454924], [2.288994726983568, 48.88405517296324], [2.288639551716662, 48.883792183171536]], [[2.2909372681763642, 48.88524228220545], [2.290936799652219, 48.885115951796614], [2.290848645166648, 48.885054091521475]], [[2.2909372681763642, 48.88524228220545], [2.290831471400022, 48.885250818924774], [2.290658438541679, 48.885182719796155]], [[2.2909372681763642, 48.88524228220545], [2.291036030984662, 48.8852457665072], [2.291636323289158, 48.88566008476688]], [[2.291512587145059, 48.88567697868112], [2.290950263066302, 48.88530225119788], [2.2909372681763642, 48.88524228220545]]], ""type"": ""MultiLineString""}";917;P;750001537;1970.61706188;48.882374706737316,2.2873468615276957
750006971;75056;RUE;DE LA;LEGION D'HONNEUR;R. de la Légion d'Honneur;Rue de la Légion d'Honneur;750565477;O;O;5416;"{""coordinates"": [[2.325367600593302, 48.860774934945866], [2.324591716272857, 48.860032317456]], ""type"": ""LineString""}";945;P;750001537;100.29574312;48.860403626200934,2.3249796584330795
750006223;75056;AV;;GEORGES MANDEL;Av. Georges Mandel;Avenue Georges Mandel;750564141;O;O;4088;"{""coordinates"": [[[2.286448351573465, 48.86294459282874], [2.281569991852913, 48.86349566487331]], [[2.286474620393193, 48.86311564709179], [2.2852559019851792, 48.86325026469879], [2.281702714729778, 48.863649414412556]], [[2.281569991852913, 48.86349566487331], [2.279597519960798, 48.86370916219036], [2.278741040057163, 48.86380244399082], [2.2773763839311663, 48.863960564283516]], [[2.281702714729778, 48.863649414412556], [2.281633814808401, 48.86357483126646], [2.281569991852913, 48.86349566487331]], [[2.281702714729778, 48.863649414412556], [2.279475851825667, 48.86390209541637], [2.277584061917905, 48.86411398941147]]], ""type"": ""MultiLineString""}";947;P;750001537;1356.39043462;48.86353313710655,2.2819665123270156
750003753;75056;RUE;DE;CITEAUX;R. de Citeaux;Rue de Citeaux;750562055;O;O;2055;"{""coordinates"": [[2.379649579913539, 48.84653105836623], [2.379750678000209, 48.84670251158093], [2.3805279102999632, 48.847814347412346], [2.380697625901148, 48.84805447800378], [2.380728295363256, 48.848192162587445], [2.380779526499477, 48.848220361728174], [2.381070030958909, 48.84929730987255], [2.381139204206441, 48.84954935020117], [2.381207554762903, 48.84979590371234], [2.381373239709542, 48.85039438737157]], ""type"": ""LineString""}";979;P;750001537;452.07810349;48.84838958559243,2.3806683718308808
750007131;75056;PL;;JACQUES DEMY;Pl. Jacques Demy;Place Jacques Demy;750564783;O;O;4862;"{""coordinates"": [[2.326628403813558, 48.831528654183025], [2.326841162833156, 48.831561073616335], [2.327118538079846, 48.83195779313218]], ""type"": ""LineString""}";1003;P;750001537;64.61392998;48.83169339653954,2.32690442752974
750007330;75056;PL;;MARIE-JOSE NICOLI;Pl. Marie-José Nicoli;Place Marie-José Nicoli;750566075;O;O;6022;"{""coordinates"": [[2.391775582697543, 48.85210905464785], [2.391844536042065, 48.85194820451694]], ""type"": ""LineString""}";1013;P;750001537;18.58758888;48.85202862958239,2.3918100593698037
750000885;75056;RUE;;RAYMOND LOSSERAND;R. Raymond Losserand;Rue Raymond Losserand;750568061;O;O;8066;"{""coordinates"": [[2.323209424236085, 48.836808532510545], [2.322187267216917, 48.83620360217696], [2.321833144400629, 48.8359916881256], [2.321702133025115, 48.83591352472393], [2.3211565024929213, 48.83558710544253], [2.320316309516452, 48.83510229007266], [2.3195580275807792, 48.83469857670399], [2.318903251218578, 48.83438984678136], [2.318612638897378, 48.83423602585511], [2.318115899179336, 48.83397309822028], [2.31806644462296, 48.833919161490584], [2.31766130279046, 48.833698107238206], [2.317472407916661, 48.83359457829191], [2.317125952512487, 48.833411239461135], [2.316230512058634, 48.832938784942705], [2.315671323147193, 48.83262681645569], [2.315091586723558, 48.83231565931718], [2.314149475327575, 48.83181539230708], [2.312288812707116, 48.830940190604565], [2.3117628894895113, 48.83068954917568], [2.310903199330529, 48.830286655583], [2.309203076251749, 48.829510116436786], [2.308452879835625, 48.82915955928194], [2.307725326430786, 48.82881855380474], [2.307585737215367, 48.82877993946131], [2.307366112462998, 48.828652366255106], [2.306315163537477, 48.8281440216991], [2.305793107148122, 48.82790205899609], [2.305515897921672, 48.82774365812098]], ""type"": ""LineString""}";1024;P;750001537;1646.55300398;48.832123580542415,2.3144418083779192
750005744;75056;RUE;DE L';ORIENT EXPRESS;R. de l'Orient Express;Rue de l'Orient Express;750566931;O;O;6857;"{""coordinates"": [[2.347041008881746, 48.86183512069606], [2.347023165370393, 48.86209696363624]], ""type"": ""LineString""}";1032;P;750001537;29.14518554;48.861966042166145,2.3470320871260695
750004571;75056;RUE;DE;LISBONNE;R. de Lisbonne;Rue de Lisbonne;750565708;O;O;5648;"{""coordinates"": [[2.318166450550259, 48.87786265314316], [2.31629359025694, 48.877780243908504], [2.315602481008581, 48.8777491753022], [2.314850990652845, 48.87771342412832], [2.313279701356607, 48.87764890833606], [2.3125579486050603, 48.87761647540353], [2.310630684287205, 48.87752519326518], [2.310470434072627, 48.87751889859816], [2.310370717036028, 48.87751498135501], [2.310256903332179, 48.877511034970404], [2.309771094561101, 48.877494205223925], [2.308271790815195, 48.877432406602956], [2.308179766241369, 48.8774262773401], [2.306690032261498, 48.877351880277146]], ""type"": ""LineString""}";1101;P;750001537;843.66004786;48.87760951966142,2.312428116158478
750001868;75056;RUE;;BOULITTE;R. Boulitte;Rue Boulitte;750561172;O;O;1180;"{""coordinates"": [[2.316379550199568, 48.828592259289586], [2.317018232511464, 48.828215394467726], [2.317620990054456, 48.82787100996453]], ""type"": ""LineString""}";1114;P;750001537;121.40348488;48.828229464521385,2.316999010013488
