N_SQ_CA;NUMEVP;TEXTE;geo_shape;geo_point_2d
9;88;9-88;"{""coordinates"": [[[2.338915815396606, 48.878372838802434], [2.33893200923953, 48.87843754362576], [2.339108399483296, 48.87841547927555], [2.339090502159937, 48.87835154659337], [2.338915815396606, 48.878372838802434]]], ""type"": ""Polygon""}";48.8783944238,2.33901157281
9;68;9-68;"{""coordinates"": [[[2.33420184629233, 48.87748291174141], [2.334195033128627, 48.877419119925044], [2.334119194344637, 48.87742003092175], [2.334126858972192, 48.87748579072922], [2.334138789391512, 48.877485580093705], [2.334138789098152, 48.877483683392654], [2.33420184629233, 48.87748291174141]]], ""type"": ""Polygon""}";48.8774515895,2.33416053565
8;43;8-43;"{""coordinates"": [[[2.319794452177508, 48.87915949988564], [2.319798719174928, 48.87914025046153], [2.319844735071243, 48.87914257588189], [2.320037317730176, 48.87915033214976], [2.32009696794599, 48.87915293996112], [2.320129348734342, 48.87915441980029], [2.320243535553945, 48.87915935355261], [2.320244387589034, 48.87915675481314], [2.320371356448041, 48.87916260369788], [2.320427597903734, 48.87916500043415], [2.320623589392087, 48.87917423113287], [2.320622733278752, 48.879185401421545], [2.32066107949503, 48.879187093038254], [2.320673861099396, 48.879187727652855], [2.320817117837302, 48.87889660704175], [2.320817970317249, 48.878893867104516], [2.320807745461703, 48.878892389942955], [2.320751503304742, 48.87889498199628], [2.3206507446178932, 48.87887376780133], [2.32056372790742, 48.87910231956305], [2.320318555882054, 48.87906465943918], [2.320357783214919, 48.878981271777675], [2.320327960046664, 48.87897564709105], [2.320327967894033, 48.878950284060735], [2.320281582943163, 48.8789417710961], [2.320341821120406, 48.87877664604696], [2.320437995054735, 48.87879349428398], [2.320468524117746, 48.87872682801362], [2.3204490489433542, 48.87872056510692], [2.320378324927728, 48.878708330160855], [2.3203732137522, 48.8787067138161], [2.320367249191276, 48.87870362131227], [2.320364694534188, 48.87869856243219], [2.32036384552364, 48.8786902729267], [2.320376638276631, 48.87865901087804], [2.3204073476047222, 48.87856128885657], [2.320110824126047, 48.8784987893636], [2.320063398624103, 48.87870985596121], [2.320204015261714, 48.87873021689248], [2.3201486977978583, 48.878897001221446], [2.32006893775464, 48.87888673648806], [2.320029802938647, 48.87901125662296], [2.319739085925463, 48.87909239790454], [2.319624051263885, 48.87907608135132], [2.319588224766766, 48.87918033560766], [2.319787622672798, 48.87919350274436], [2.319794452177508, 48.87915949988564]]], ""type"": ""Polygon""}";48.8789340964,2.32024761663
9;90;9-90;"{""coordinates"": [[[2.3277496841666743, 48.876941492339355], [2.32818599094467, 48.87680185543355], [2.328198784106431, 48.876738978130795], [2.328164700833062, 48.87672836623509], [2.328065856366287, 48.876729343031585], [2.328008760511323, 48.876753295646445], [2.3277496841666743, 48.876941492339355]]], ""type"": ""Polygon""}";48.876812304,2.32801899855
20;8;20-8;"{""coordinates"": [[[2.395287929847639, 48.874626073710616], [2.3953534123101132, 48.874516862171824], [2.3953866596406, 48.87453075571946], [2.395414723645057, 48.87448507466271], [2.39541642899787, 48.87448556621748], [2.395418132997815, 48.874486056866054], [2.39545722193734, 48.874395687875094], [2.395412055040168, 48.87438973910542], [2.395428201829525, 48.874353548764674], [2.395210020129556, 48.87430785501284], [2.395051833723862, 48.87456415875664], [2.3949802378837273, 48.87454536689015], [2.394953016953886, 48.87458416231816], [2.395293960422068, 48.87468171350726], [2.395305866393011, 48.87466203509928], [2.395318622516154, 48.874640881582074], [2.395322876415297, 48.8746351185628], [2.395287929847639, 48.874626073710616]]], ""type"": ""Polygon""}";48.8744925833,2.39523747756
20;55;20-55;"{""coordinates"": [[[2.397207062096136, 48.87202813110841], [2.397143097891939, 48.87197744084048], [2.3970876630328632, 48.871933560091264], [2.396856340307725, 48.87228903662258], [2.396776770907099, 48.872414146764264], [2.396817810965427, 48.87242337569817], [2.39680734601867, 48.87244114866858], [2.396912796624422, 48.87247385009353], [2.396925556718331, 48.87245648978109], [2.39694256637119, 48.87243111892231], [2.396985088938623, 48.872365406546216], [2.397005500811566, 48.87233455338654], [2.397033566247684, 48.872292174235604], [2.397067584684218, 48.87223995666582], [2.397092249683618, 48.87220312904869], [2.397202810344793, 48.87203515868135], [2.397207062096136, 48.87202813110841]]], ""type"": ""Polygon""}";48.8722124566,2.39699515801
7;73;7-73;"{""coordinates"": [[[2.299270706728958, 48.860803338312394], [2.299125924502967, 48.860764368688564], [2.298405368305787, 48.86063865196231], [2.2981200759404, 48.86054771463877], [2.297804973529737, 48.86045030353677], [2.297631209117242, 48.86066626357712], [2.298202268723819, 48.86083660842738], [2.298607946466983, 48.8609443351829], [2.2989514529704023, 48.86103108229068], [2.299145305041615, 48.86104336071541], [2.299270706728958, 48.860803338312394]]], ""type"": ""Polygon""}";48.8607655525,2.29847490665
7;7;7-7;"{""coordinates"": [[[2.299663626232488, 48.86091303729982], [2.29954047514465, 48.86115407333499], [2.300131594451233, 48.86123449567151], [2.300202467831252, 48.86100365781007], [2.299663626232488, 48.86091303729982]]], ""type"": ""Polygon""}";48.8610773763,2.29988049077
11;3;11-3;"{""coordinates"": [[[2.391180578425068, 48.85551831225885], [2.391254548027539, 48.8553973664684], [2.391250289267413, 48.855396525496054], [2.391271543886074, 48.855361387252486], [2.391385473741602, 48.85517480332376], [2.391521512563538, 48.854956382318065], [2.391151748908613, 48.854855251089084], [2.391091384148993, 48.854954270726815], [2.391071829742184, 48.854987370685066], [2.391045474752517, 48.85503199536215], [2.391076997793561, 48.855040200458234], [2.391025147049394, 48.8551373189818], [2.390954575392202, 48.855250183319185], [2.390877201415993, 48.855374573205836], [2.3908678489273463, 48.855390454860036], [2.390835538946613, 48.85544196785114], [2.390768234148446, 48.855426544018535], [2.390765683678016, 48.85543054932271], [2.39073082122599, 48.85548529503764], [2.390932720995075, 48.8555192030617], [2.39095567302603, 48.85547738955811], [2.391180578425068, 48.85551831225885]]], ""type"": ""Polygon""}";48.8552026707,2.39116087934
5;57;5-57;"{""coordinates"": [[[2.353745767962018, 48.84612335149396], [2.353561054808505, 48.84636400514523], [2.353572979623487, 48.84637201271977], [2.353605347012984, 48.84639266331676], [2.353640253987522, 48.84636940291754], [2.353676874287277, 48.846375439399644], [2.353766261232061, 48.84628486663165], [2.353836897136874, 48.846150596967796], [2.353745767962018, 48.84612335149396]]], ""type"": ""Polygon""}";48.8462601348,2.35370508043
12;66;12-66;"{""coordinates"": [[[2.398639900101998, 48.84224014475042], [2.398642440685388, 48.842228621449095], [2.398793171603155, 48.84223816399962], [2.398815086033113, 48.84205703267982], [2.398485526486077, 48.84203810204564], [2.398481268216686, 48.84203789356735], [2.398419955188932, 48.842034343963675], [2.39830522896255, 48.84222023281356], [2.398409121833411, 48.84222649952513], [2.3984270049478003, 48.84222747352499], [2.39845340407964, 48.84222879432845], [2.398459366148086, 48.84222942328134], [2.398568367841774, 48.84223575691414], [2.398616907353382, 48.842238822225994], [2.398634791029005, 48.8422398663476], [2.398639900101998, 48.84224014475042]]], ""type"": ""Polygon""}";48.8421415066,2.39857922754
15;37;15-37;"{""coordinates"": [[[2.305677624124802, 48.83816362871047], [2.305577541055283, 48.838337359224845], [2.30576725416147, 48.83838072993552], [2.305849104267525, 48.838203215040636], [2.305677624124802, 48.83816362871047]]], ""type"": ""Polygon""}";48.8382726886,2.30571709252
13;80;13-80;"{""coordinates"": [[[2.343793537121874, 48.832024595944986], [2.343750060373906, 48.83160369595631], [2.3437381429907242, 48.83160728021755], [2.3437338818328, 48.83157784287072], [2.343443176848853, 48.831643517728196], [2.343439218393548, 48.83163775890337], [2.343328657321378, 48.83166596870301], [2.343163499943321, 48.83168326149007], [2.343177161585583, 48.832000536021326], [2.3434206665943442, 48.83216386607551], [2.343793537121874, 48.832024595944986]]], ""type"": ""Polygon""}";48.8318656322,2.34348428731
13;70;13-70;"{""coordinates"": [[[2.358802573517579, 48.83467780145007], [2.358805979177404, 48.83468103225035], [2.358809386893271, 48.83468320990131], [2.358812792384395, 48.834685457690995], [2.35881705174302, 48.834688618419726], [2.358821309149228, 48.834692270192924], [2.358824715901338, 48.8346950800941], [2.358827272543413, 48.834697889935], [2.358831530575439, 48.83470182321338], [2.358834938361531, 48.834705545978544], [2.358836641170654, 48.8347082154376], [2.358839197575699, 48.834711376929896], [2.358841753526677, 48.83471523992688], [2.358843457823776, 48.83471812074532], [2.358845160769833, 48.83472100065714], [2.358846865373625, 48.83472507493876], [2.358848571101821, 48.834729500879334], [2.358850274809291, 48.83473287274951], [2.358851127543063, 48.83473631470568], [2.35885198142425, 48.83474088177761], [2.358852834181418, 48.834745097190535], [2.358853686949786, 48.83474931170412], [2.358853689561695, 48.83475275449949], [2.358853691049633, 48.83475584563592], [2.359385735744176, 48.83459190316306], [2.359495539254924, 48.83453609812116], [2.359498092150083, 48.834533006273155], [2.359498942594259, 48.83452998535234], [2.359498941068167, 48.8345268942153], [2.3594980874330282, 48.83452352240923], [2.359494679845371, 48.83451944801058], [2.359490422322026, 48.83451635746618], [2.359486164374983, 48.83451474278272], [2.35948190634393, 48.834513689304515], [2.359476798099342, 48.834513198774516], [2.359472541729429, 48.83451334056535], [2.359338018151017, 48.83450409317973], [2.358802573517579, 48.83467780145007]]], ""type"": ""Polygon""}";48.8346178592,2.35914362024
13;105;13-105;"{""coordinates"": [[[2.371296959083709, 48.830109029215585], [2.371293552177657, 48.83010699221879], [2.371119112100584, 48.83022107043333], [2.371054442014651, 48.83026345496772], [2.37097104977304, 48.83031820897358], [2.3715740081189223, 48.83064555768179], [2.371647178858259, 48.83058462395929], [2.37169652753848, 48.830543719036086], [2.371709289800798, 48.83053359891238], [2.371859886741777, 48.83041032359662], [2.371502202045991, 48.830219056825634], [2.371369347474309, 48.83014750706875], [2.371334431444083, 48.83012925158317], [2.371296959083709, 48.830109029215585]]], ""type"": ""Polygon""}";48.8303717647,2.37142318567
13;102;13-102;"{""coordinates"": [[[2.364718662423868, 48.8281826064338], [2.364614864348299, 48.82828773492414], [2.364866042989408, 48.828378934463906], [2.364851560511244, 48.82835989877272], [2.364847301255514, 48.82835484146361], [2.364718662423868, 48.8281826064338]]], ""type"": ""Polygon""}";48.8282830293,2.36473293772
15;78;15-78;"{""coordinates"": [[[2.288495446872029, 48.83365899035092], [2.288606607395599, 48.83360526090442], [2.288547042057654, 48.83357390151934], [2.288496065313796, 48.83354301590161], [2.288184998837007, 48.8337711651547], [2.288010617285232, 48.833681709582464], [2.287956425120504, 48.83372486370838], [2.287922747653172, 48.833705342820245], [2.287718193436287, 48.83386605296271], [2.287909823786844, 48.83397106741139], [2.28795242121866, 48.833942281068246], [2.288007302792238, 48.833912305111355], [2.288495446872029, 48.83365899035092]]], ""type"": ""Polygon""}";48.8337762113,2.28809416254
14;40;14-40;"{""coordinates"": [[[2.332520913148961, 48.83169472529601], [2.332590403432415, 48.83179536530702], [2.332622692503599, 48.831786200098655], [2.332726296436538, 48.83193630611216], [2.332695271442181, 48.831947178215266], [2.3328153427292833, 48.83211776568275], [2.332770076069999, 48.83213535491817], [2.332853319763911, 48.832267506328705], [2.332900976295595, 48.83227395083729], [2.333158227578844, 48.8315699919718], [2.333026181268047, 48.83154863394325], [2.332520913148961, 48.83169472529601]]], ""type"": ""Polygon""}";48.8318366007,2.3328696645
13;67;13-67;"{""coordinates"": [[[2.364902337659088, 48.830866839802695], [2.364867716082538, 48.8308437921477], [2.3647918409215762, 48.830839338425015], [2.364711975186508, 48.83089026199792], [2.364583099428528, 48.83098141031552], [2.364564296157706, 48.83096945221289], [2.364470772417329, 48.83103620662667], [2.364500676884485, 48.831054859286645], [2.364902337659088, 48.830866839802695]]], ""type"": ""Polygon""}";48.8309335835,2.36469811997
19;65;19-65;"{""coordinates"": [[[2.3825641429174222, 48.884940630818726], [2.382500407900552, 48.88504469310913], [2.382679969089185, 48.885091877636526], [2.38269713185462, 48.88507074654678], [2.382704064621141, 48.88506224589539], [2.3827001233680942, 48.885061230921664], [2.382781310501763, 48.88495680163947], [2.3825641429174222, 48.884940630818726]]], ""type"": ""Polygon""}";48.8850084681,2.38263611561
14;14;14-14;"{""coordinates"": [[[2.334133242114011, 48.835592433502235], [2.334464861436218, 48.835449775589545], [2.334482753562027, 48.835441987668865], [2.334570173065346, 48.83540530488066], [2.334454015757137, 48.83527700742495], [2.334279868999343, 48.835354531716376], [2.334244466550189, 48.83536869401229], [2.334175986847021, 48.83539736428274], [2.334117381985112, 48.83533791345437], [2.334092179314949, 48.83535039400594], [2.334060577303712, 48.83531927793566], [2.333924770565169, 48.83537723891799], [2.333939637994043, 48.83539271532646], [2.333996059163562, 48.8354512861888], [2.334007926093824, 48.83546360887806], [2.3340109338826522, 48.83546235661435], [2.334018744425109, 48.835470566382], [2.334018799543446, 48.83547062424857], [2.3340197378824072, 48.83547161068574], [2.334053957683506, 48.83550758624272], [2.334055408229937, 48.83550910975705], [2.334055463348253, 48.83550916762363], [2.334062858473371, 48.835516943377556], [2.334133242114011, 48.835592433502235]]], ""type"": ""Polygon""}";48.8354263752,2.33424338389
14;96;14-96;"{""coordinates"": [[[2.335205686348511, 48.82913792154855], [2.334930719020544, 48.82913770766301], [2.334916245105703, 48.829175856003495], [2.335203131817632, 48.829177475347265], [2.335205686348511, 48.82913792154855]]], ""type"": ""Polygon""}";48.8291573836,2.33506473758
6;14;6-14;"{""coordinates"": [[[2.331464486147514, 48.84231872193717], [2.331529209068008, 48.84226125537245], [2.331447623889468, 48.842211270535], [2.3316813185304213, 48.84199081545901], [2.331588326284491, 48.841957091348675], [2.331361442632898, 48.84213667131548], [2.331414083420765, 48.84216483415009], [2.331140900207188, 48.84240182036423], [2.331304384195724, 48.84246737615139], [2.331339301033678, 48.84243330373546], [2.331344410140075, 48.842428245486644], [2.331363145904451, 48.84241089354137], [2.331400616571992, 48.842376891140994], [2.331464486147514, 48.84231872193717]]], ""type"": ""Polygon""}";48.8422326111,2.33140734683
14;18;14-18;"{""coordinates"": [[[[2.334074551770642, 48.839627938881506], [2.334806840147242, 48.83913201573415], [2.335220642978975, 48.839397939421865], [2.335254702783972, 48.83937707362822], [2.335277690821942, 48.83939906407782], [2.33539179017732, 48.839345249508426], [2.335636154543476, 48.839584332012635], [2.33585753948524, 48.83950684071213], [2.335745999872642, 48.83939295515768], [2.3357298214345272, 48.83937651573147], [2.335727267287637, 48.839374337671764], [2.335637014254574, 48.839282793557416], [2.335582521990361, 48.839226026855016], [2.33551781005509, 48.83925581417514], [2.335493969053631, 48.839266633326275], [2.335440327711357, 48.839207898972965], [2.335594444671422, 48.839136380339745], [2.33548631246035, 48.83901406387112], [2.335536550227601, 48.83899242537039], [2.3356906667659603, 48.83892526223577], [2.335718764555844, 48.83891289728708], [2.335504203409001, 48.83868990365326], [2.335346681679544, 48.83876001734901], [2.334776229081291, 48.83820723836714], [2.334499501772002, 48.83833151613122], [2.333931567976608, 48.83858639259241], [2.333324460126097, 48.83885939240123], [2.333387460153771, 48.8389727867699], [2.333420663403913, 48.839032996463224], [2.333486228353325, 48.839000610452224], [2.333564557738193, 48.83906672315813], [2.333600320784195, 48.839050143806716], [2.333788484836921, 48.839182790900985], [2.333743355282381, 48.839215740578524], [2.333733138107677, 48.83922234438232], [2.333747611158535, 48.83923091591771], [2.334032841854999, 48.83941499206684], [2.333900858231614, 48.839517000852545], [2.334074551770642, 48.839627938881506]], [[2.33447225365657, 48.838360460871684], [2.334630627560988, 48.83828613320988], [2.33483411609831, 48.83846866106907], [2.334657862520054, 48.83853849253318], [2.33447225365657, 48.838360460871684]]]], ""type"": ""MultiPolygon""}";48.8389449887,2.33458449635
15;69;15-69;"{""coordinates"": [[[2.291671343251395, 48.835696133938946], [2.291783709837015, 48.83559873607117], [2.291665584047536, 48.83553815716395], [2.2916476340366803, 48.83555343465629], [2.291604231159338, 48.835533675582475], [2.291508796554585, 48.83561801574078], [2.291671343251395, 48.835696133938946]]], ""type"": ""Polygon""}";48.8356102869,2.2916470007
18;160;18-160;"{""coordinates"": [[[2.33520100250371, 48.88803423333271], [2.335400435710679, 48.88820720545216], [2.335405549864825, 48.88820495764127], [2.335494187964497, 48.88827352773999], [2.335496744919006, 48.88827043655424], [2.335519756965376, 48.88824725280666], [2.335531690290871, 48.88823685446089], [2.335563226648451, 48.88821071965235], [2.335578567326201, 48.88819919806408], [2.33561266049521, 48.888174467789135], [2.335651015365071, 48.88814973866652], [2.335679993844523, 48.88813456322242], [2.335689369853239, 48.88813048822954], [2.335547890575353, 48.887993066642956], [2.335467777334358, 48.887914801464824], [2.33520100250371, 48.88803423333271]]], ""type"": ""Polygon""}";48.888086707,2.33545297719
18;99;18-99;"{""coordinates"": [[[2.3402127095453062, 48.88665420214074], [2.340195434463137, 48.88659281505495], [2.340178790365888, 48.886595068782086], [2.340151314860866, 48.8864942843729], [2.340071776620657, 48.886503824956684], [2.340112670124188, 48.88665105627687], [2.340136597222689, 48.88666348914941], [2.3402127095453062, 48.88665420214074]]], ""type"": ""Polygon""}";48.886582483,2.34013861824
18;87;18-87;"{""coordinates"": [[[2.346007032740328, 48.88633449177849], [2.346033286569986, 48.88627414370634], [2.345930386328778, 48.88625288271049], [2.34591863607606, 48.88628061044241], [2.345862004005677, 48.88626899201337], [2.345885988381574, 48.88621225676017], [2.345886839504104, 48.886210289184426], [2.3458314428392972, 48.88621366658297], [2.345663547474153, 48.88622309412502], [2.345655879337833, 48.88623644320756], [2.345638846920356, 48.88631021370028], [2.345637995783529, 48.88631456898887], [2.345825502913107, 48.88635431864389], [2.345828058767411, 48.886348978911144], [2.345842633258373, 48.88631496053473], [2.34588854311524, 48.88632446903029], [2.345874837058742, 48.88635557833509], [2.345882786394236, 48.88635718569407], [2.345878344892416, 48.886364993673006], [2.345984910088224, 48.88638578369649], [2.346007032740328, 48.88633449177849]]], ""type"": ""Polygon""}";48.8862911119,2.34583088677
18;124;18-124;"{""coordinates"": [[[2.333049173756477, 48.88509131257824], [2.332936015984527, 48.88495874869672], [2.332776451241647, 48.88501533936169], [2.332687823740796, 48.88504380835014], [2.332750030958474, 48.885121794188066], [2.332814795150576, 48.885202449956275], [2.333049173756477, 48.88509131257824]]], ""type"": ""Polygon""}";48.8850760721,2.33286921946
18;147;18-147;"{""coordinates"": [[[2.338041666032264, 48.88516160752828], [2.33795473277199, 48.88503332137753], [2.337841384114943, 48.88507083961978], [2.3379257591648033, 48.88519631568892], [2.338041666032264, 48.88516160752828]]], ""type"": ""Polygon""}";48.8851155006,2.33794114396
17;82;17-82;"{""coordinates"": [[[2.320977409926639, 48.88390987600679], [2.32088452746527, 48.88387684374201], [2.320774548380614, 48.884004553635435], [2.320865725998211, 48.88403730561149], [2.320977409926639, 48.88390987600679]]], ""type"": ""Polygon""}";48.8839569784,2.32087571724
7;17;7-17;"{""coordinates"": [[[2.307645368767544, 48.861800582895675], [2.3076411096800262, 48.86180044133967], [2.307637702006526, 48.86180044051131], [2.307634294622524, 48.86180093073032], [2.307630886501209, 48.861802194387074], [2.307618955225625, 48.86180949824011], [2.307618102849943, 48.86181076319265], [2.307617249984726, 48.861812167541736], [2.307616398470505, 48.86181357279796], [2.307610798994261, 48.861911414995234], [2.307916191039904, 48.86191376246789], [2.307915323782932, 48.86194200517206], [2.307914462601848, 48.86195809318053], [2.307913602312137, 48.861970317581665], [2.308072048725049, 48.86197035691777], [2.308072910944751, 48.86195244233253], [2.308189614693187, 48.86195338413493], [2.308196504133724, 48.861822780618226], [2.308148819316048, 48.86179016968237], [2.307921377450092, 48.86178540648129], [2.307670084811187, 48.86178021437962], [2.307667528552658, 48.86178035427972], [2.307664972070739, 48.86178112642239], [2.307663268796133, 48.861782109452406], [2.307646224241394, 48.86179313582034], [2.307644519880795, 48.86179461078896], [2.307643666933941, 48.86179622648533], [2.307644518036758, 48.86179854454071], [2.307645368767544, 48.861800582895675]]], ""type"": ""Polygon""}";48.8618642118,2.3079230276
16;9;16-9;"{""coordinates"": [[[2.285486325675528, 48.85829195325871], [2.285425024660698, 48.85826487723386], [2.285366183864055, 48.85833011861193], [2.285321839229187, 48.85837899640841], [2.285383155062983, 48.85839188072931], [2.285683774141797, 48.85845482461235], [2.285705138214419, 48.85838837189764], [2.285486325675528, 48.85829195325871]]], ""type"": ""Polygon""}";48.8583672053,2.28551548068
16;208;16-208;"{""coordinates"": [[[2.279913482917706, 48.85567628742292], [2.28016579299243, 48.855508781766034], [2.280267930367814, 48.85557129004844], [2.280340386437109, 48.855521303272226], [2.280287245804106, 48.855489182318635], [2.280338201794614, 48.855454984879444], [2.280314072618988, 48.85544147977615], [2.2802561976859, 48.85540400522534], [2.280200023041563, 48.85536835757851], [2.280164220693205, 48.85539342049605], [2.2800258116823873, 48.85548879943163], [2.279966876279944, 48.855447991631], [2.2798103822673053, 48.85555175054096], [2.27987292363945, 48.85559258011628], [2.279797681362743, 48.85564531716785], [2.279769550073988, 48.85566518466902], [2.279745683152067, 48.855681121551086], [2.2797303394806, 48.85569137092292], [2.279778853080536, 48.85572258919266], [2.279825665576699, 48.85575204974888], [2.279950781250686, 48.85583304620163], [2.280001849235075, 48.85586475730592], [2.280104137636523, 48.855797011568406], [2.279913482917706, 48.85567628742292]]], ""type"": ""Polygon""}";48.8555965184,2.28001790953
16;208;16-208;"{""coordinates"": [[[2.2794836719158322, 48.85539715616207], [2.279669224327407, 48.85550853475701], [2.279891710238057, 48.855352045335295], [2.27981596411973, 48.855300650654115], [2.279909736382765, 48.85523023036583], [2.279836541886228, 48.85518227940478], [2.279809307087824, 48.855163929540566], [2.279698490893753, 48.855242489785894], [2.27956209705352, 48.8553421154146], [2.2794836719158322, 48.85539715616207]]], ""type"": ""Polygon""}";48.8553445583,2.27971334171
6;13;6-13;"{""coordinates"": [[[2.32017244665499, 48.846862365938826], [2.320227176919261, 48.846808078447815], [2.319950450167354, 48.846686987745805], [2.319928301845841, 48.84670490035633], [2.31976907719708, 48.846636095994306], [2.319925825609122, 48.84647467110299], [2.319947111735848, 48.8464871097694], [2.319982890142938, 48.84645107332925], [2.319924991485323, 48.84642654597276], [2.319898596383527, 48.84641340373683], [2.320007736596365, 48.846288089079046], [2.319955082455074, 48.846254205793045], [2.319891672796155, 48.84622930802898], [2.319873105312113, 48.84624808819156], [2.319785361869813, 48.846335684608775], [2.319763213049036, 48.84635844475522], [2.319755546264679, 48.84636567970396], [2.319712099969231, 48.84640965342106], [2.319675468667634, 48.84644702408316], [2.31958346385553, 48.84653897510356], [2.319525535730296, 48.84659706821553], [2.319442050399855, 48.84668094183596], [2.319364619982977, 48.84675901567764], [2.319388982940368, 48.84676853912438], [2.319349695374493, 48.846809241992396], [2.319521714873024, 48.846885823613505], [2.319549291024179, 48.84684985218051], [2.3195506916417132, 48.846850495096305], [2.319550703231218, 48.84684960749177], [2.3195585203854012, 48.8468445354806], [2.31968957088071, 48.84689985045591], [2.319858337115516, 48.84673795530506], [2.32017244665499, 48.846862365938826]]], ""type"": ""Polygon""}";48.8466313972,2.3197373778
12;51;12-51;"{""coordinates"": [[[2.388035707610009, 48.84299355656298], [2.387890484269262, 48.84292678085225], [2.387855495631416, 48.842959082168925], [2.388000175279103, 48.843026212184036], [2.388035707610009, 48.84299355656298]]], ""type"": ""Polygon""}";48.8429764752,2.38794561781
13;6;13-6;"{""coordinates"": [[[2.343838237423087, 48.83413031619329], [2.343753363519289, 48.83419815141008], [2.343728676294503, 48.83421796488401], [2.343646952400622, 48.834284783029695], [2.343621413904083, 48.834305439914864], [2.343589116910079, 48.83433062940258], [2.343705712395702, 48.83439662643366], [2.343819787151836, 48.83431884614181], [2.343807881720135, 48.834418399533206], [2.343798527005165, 48.83450179354192], [2.344296590370575, 48.83452051849065], [2.344292338818959, 48.83455417208209], [2.344497523331024, 48.834557740336116], [2.344515381759965, 48.834420529630655], [2.3445809259814, 48.83433720155137], [2.344373181906508, 48.834289160853366], [2.344363594413562, 48.8342986353249], [2.343838237423087, 48.83413031619329]]], ""type"": ""Polygon""}";48.8343633776,2.34409264021
14;81;14-81;"{""coordinates"": [[[2.3170573244808, 48.82608394461258], [2.317073211286793, 48.826109303393835], [2.317087069116031, 48.82609468487686], [2.3171602693085163, 48.82611099669422], [2.317152603170692, 48.826124413927715], [2.317155994642995, 48.826157505260056], [2.31738825796191, 48.82610595765183], [2.317380482123089, 48.82609581953555], [2.317492371044281, 48.82607063068526], [2.317438086354278, 48.82599234469168], [2.317321417722503, 48.826018790520244], [2.317270713082055, 48.82595017432186], [2.3170573244808, 48.82608394461258]]], ""type"": ""Polygon""}";48.8260603909,2.31727324501
13;23;13-23;"{""coordinates"": [[[2.369952125611829, 48.82375601184962], [2.370233751771385, 48.82384990799712], [2.370497380037807, 48.82346732276556], [2.370328415191771, 48.823433118492765], [2.370311825929925, 48.82346396608288], [2.370076352017203, 48.823416323492786], [2.369894783611906, 48.82367950288993], [2.3699880457533262, 48.82371568870529], [2.369952125611829, 48.82375601184962]]], ""type"": ""Polygon""}";48.8236143942,2.37018355253
13;112;13-112;"{""coordinates"": [[[2.344821539627372, 48.820410121302366], [2.344491855141117, 48.820411369626775], [2.344494288259478, 48.82046668140549], [2.344819069497747, 48.82046568501456], [2.344821539627372, 48.820410121302366]]], ""type"": ""Polygon""}";48.8204383947,2.34465680381
14;46;14-46;"{""coordinates"": [[[2.337646506407407, 48.833666985243354], [2.337795464671221, 48.833634222135906], [2.337788970655373, 48.83362144299286], [2.33775631860894, 48.833611550798885], [2.337634226870834, 48.83364121141805], [2.337643175575126, 48.833660868162866], [2.337646506407407, 48.833666985243354]]], ""type"": ""Polygon""}";48.8336379402,2.33771250181
18;76;18-76;"{""coordinates"": [[[2.3360395404114103, 48.8946203056819], [2.336057440835303, 48.89466456701806], [2.336394145521175, 48.894604148101635], [2.336270310537316, 48.894310453774146], [2.336061707891016, 48.894349961149764], [2.336169960299284, 48.89459487373901], [2.3360395404114103, 48.8946203056819]]], ""type"": ""Polygon""}";48.8944894826,2.33621870761
18;144;18-144;"{""coordinates"": [[[2.336517000860884, 48.88354432890837], [2.336460414698899, 48.88344292244136], [2.336353387909212, 48.883470564626435], [2.336317038851171, 48.88347976294254], [2.336325497967534, 48.88349384928688], [2.336282759913288, 48.8835044645957], [2.336332019378727, 48.883589574227734], [2.336372974241583, 48.88357903535367], [2.336374408844931, 48.88358170622364], [2.336517000860884, 48.88354432890837]]], ""type"": ""Polygon""}";48.8835179545,2.33639972865
16;121;16-121;"{""coordinates"": [[[2.275380345029592, 48.86747398259636], [2.275555058760389, 48.86742194620994], [2.275533799165534, 48.867390389742255], [2.275520190085541, 48.86737225651173], [2.275457974603579, 48.86739063044638], [2.2753343970919993, 48.8674271675419], [2.275140081128943, 48.8674846024045], [2.275174947506501, 48.8675354163836], [2.275380345029592, 48.86747398259636]]], ""type"": ""Polygon""}";48.8674536542,2.27534714978
7;61;7-61;"{""coordinates"": [[[2.304777110532808, 48.8605921243463], [2.304772845444091, 48.860601326925234], [2.304766875515281, 48.860613058471834], [2.304760053354935, 48.86062450806633], [2.304739582796813, 48.860665391518225], [2.304734466578747, 48.860673820204084], [2.30471655581857, 48.86070795988878], [2.304743810453387, 48.86071415019033], [2.304783840608014, 48.86072322428112], [2.304805133414201, 48.860728077671524], [2.304983141994237, 48.86076739975553], [2.305041144490338, 48.86064615405069], [2.304777110532808, 48.8605921243463]]], ""type"": ""Polygon""}";48.8606788763,2.30488026977
16;83;16-83;"{""coordinates"": [[[2.27845948778443, 48.86296699270111], [2.278639330982198, 48.86288340903917], [2.278773148427367, 48.86282158189709], [2.278607316947808, 48.86257953587992], [2.278252821360602, 48.86268038346852], [2.278444146547754, 48.8629739403439], [2.27845948778443, 48.86296699270111]]], ""type"": ""Polygon""}";48.8627662489,2.27851444792
